,id,last_scraped,name,description,neighborhood_overview,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,city,price,amsterdam,athens,barcelona,berlin,dublin,lisbon,london,paris,rome,a few days or more,within a day,within a few hours,within an hour,Entire home/apt,Hotel room,Private room,Shared room,log_price,lat_long,attr_score,attr_scaled,Entire condo,Entire home,Entire loft,Entire rental unit,Entire serviced apartment,Private room in bed and breakfast,Private room in condo,Private room in home,Private room in rental unit,Room in boutique hotel,Room in hotel,other_prop,amenity_ Hair dryer,amenity_ Iron,amenity_ Dishes and silverware,amenity_ Cooking basics,amenity_ Refrigerator,amenity_ Smoke alarm,amenity_ Bed linens,amenity_ Microwave,amenity_ Carbon monoxide alarm,amenity_ Dedicated workspace,season,fall,spring,summer,winter,beds_perPerson
0,18582490,2023-06-08,Condo in Paris · ★4.75 · 1 bedroom · 1 bed · 1.5 shared baths,"Home in Paris, a place where you belong.<br />Check the ad or write to ask if it is a private room or a whole flat because we do both :)<br /><br /><b>The space</b><br />The flat is located in the 15th arrondissement, between the Invalides and the Eiffel Tower in a quiet street. <br />It includes an entrance, a large living room with a sofa bed for two, a kitchen, two bedrooms, two bathrooms (Bathtub and shower), separated toilets.<br /><br /><b>License number</b><br />7511500285526",,2015-06-15,within an hour,100.0,99.0,0,1,1,48.85038,2.29924,Private room in condo,Private room,2,1.5,1.0,1.0,"[""TV with standard cable"", ""Essentials"", ""Refrigerator"", ""Room-darkening shades"", ""Smoke alarm"", ""Babysitter recommendations"", ""Host greets you"", ""Coffee maker"", ""Microwave"", ""Hair dryer"", ""Kitchen"", ""Pets allowed"", ""Oven"", ""Bed linens"", ""Hangers"", ""Heating"", ""Bathtub"", ""Shampoo"", ""Iron"", ""Wifi"", ""Hot water"", ""Carbon monoxide alarm"", ""Stove"", ""Elevator""]",33,7,0,4.75,4.88,4.84,4.94,4.94,4.9,4.81,0,1,0.45,paris,100.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4.605170185988092,"(48.85038, 2.29924)",5.993948941781811,16.621672076980506,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,summer,0,0,1,0,0.5
1,52976053,2023-06-10,Condo in Barcelona · 1 bedroom · 1 bed · 2 baths,"The apartment is located in El Born, a 3-minute walk from the Picasso museum, and the Santa Maria Del Mar cathedral. Some of Barcelona’s best bars and restaurants are within walking distance and the metro is around the corner. There’s an elevator in the building. The apartment has an open kitchen and living room area, a double bedroom with en-suite bathroom, a dedicated office space and a guest bathroom. It is fully equipped and it's been furnished with lots of care and attention to detail.<br /><br /><b>The space</b><br />There's an open living room with integrated kitchen and dining table that seats four people comfortably. The kitchen is fully equipped.<br /><br />The bedroom has plenty of closet space and an en-suite bathroom with rain shower and towel heater. <br /><br />The office is bright and spacious. There's a desk, a printer and my personal library from which you can borrow anything you'd like. <br /><br />There's also a spacious guest bathroom.<br /><br /><b>Guest access</b",,2014-11-25,within an hour,100.0,100.0,0,1,0,41.38514,2.18104,Entire condo,Entire home/apt,2,2.0,1.0,1.0,"[""Fire extinguisher"", ""Pets allowed"", ""Refrigerator"", ""Wine glasses"", ""Hangers"", ""Wifi"", ""Central heating"", ""Books and reading material"", ""Free washer \u2013 In unit"", ""Central air conditioning"", ""Microwave"", ""Room-darkening shades"", ""Shower gel"", ""Freezer"", ""Iron"", ""Essentials"", ""Hot water kettle"", ""Kitchen"", ""55\"" HDTV"", ""Smeg oven"", ""Hair dryer"", ""Drying rack for clothing"", ""Elevator"", ""Cleaning products"", ""Dedicated workspace"", ""Dishwasher"", ""Shampoo"", ""Coffee maker: pour-over coffee"", ""Exercise equipment"", ""Dishes and silverware"", ""Conditioner"", ""Bed linens"", ""Hot water"", ""Clothing storage: walk-in closet and closet"", ""Body soap"", ""Cleaning available during stay"", ""Cooking basics"", ""Long term stays allowed""]",2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0.14,barcelona,195.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.272999558563747,"(41.38514, 2.18104)",11.159008024184788,30.944770114650986,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,summer,0,0,1,0,0.5
2,736184621212894214,2023-03-27,Top floor apartment at Petrolona with big balcony,Enjoy a stylish flat with a big balcony at this centrally-located place near Petralona metro. Nearby there are many coffee  bars& restaurants and local street markets<br /><br /><b>License number</b><br />00001798104,"Petralona is close to Thiseio and to the Acropolis. Petralona features a mix of old-world charm, creative types and stylish haunts. As a neighbourhood, Petralona is in fact divided into two separate areas; Ano Petralona, running from the metro tracks to Filopappou Hill, and Kato Petralona. Upupa Epops bar is a bar to go nearby Also Aster restaurant is my favourite. Blue Bamboo, Petralona’s first Thai restaurant..",2012-09-27,within an hour,100.0,100.0,1,1,1,37.96694,23.70494,Entire condo,Entire home/apt,2,1.0,1.0,1.0,"[""Hangers"", ""Wine glasses"", ""Room-darkening shades"", ""Dishes and silverware"", ""City skyline view"", ""Essentials"", ""Mosquito net"", ""Shampoo"", ""Hot water"", ""Coffee"", ""AC - split type ductless system"", ""Outdoor furniture"", ""Lockbox"", ""Shower gel"", ""Free street parking"", ""Cleaning products"", ""Safe"", ""Long term stays allowed"", ""Free dryer \u2013 In unit"", ""Indesit stainless steel electric stove"", ""Hair dryer"", ""Iron"", ""Drying rack for clothing"", ""Freezer"", ""Extra pillows and blankets"", ""Cooking basics"", ""Heating - split type ductless system"", ""Dining table"", ""Pets allowed"", ""30\"" HDTV with Amazon Prime Video, Netflix"", ""Dedicated workspace"", ""Bed linens"", ""Fast wifi \u2013 197 Mbps"", ""Oven"", ""Private patio or balcony"", ""Kitchen"", ""Hot water kettle"", ""Free washer \u2013 In unit"", ""Refrigerator"", ""Clothing storage: closet"", ""Coffee maker: drip coffee maker"", ""Elevator"", ""Fire extinguisher"", ""Self check-in"", ""Bathtub""]",2,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,2,0.44,athens,46.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.828641396489095,"(37.96694, 23.70494)",7.719699895964479,21.40730951326361,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,spring,0,1,0,0,0.5
3,1575295,2022-09-16,Central quiet cosy - private bathroom with shower,"I let a room in our big flat. We live very central, restaurants, shops, cafés and bars are all next door. The important Sightseeings are within Walking distance . Tram & subway within 3 to 300 m.<br />Early Check-in: I can deposit the keys for you this way you can deposit your bags earlier.<br />PLEASE-if you are arriving later than 11 pm ask before booking!!<br /><br /><b>The space</b><br />Mitte is the place to be! This part of Berlin is well known for the young  & creative people living here. <br />I rent one room in our old & charming, but renovated appartement. <br />The room itself has a double bed, a desk and a flatscreen-TV. As it goes to the courtyard, it's quiet.<br />You'll have your private toilet with a shower for use.<br /><br /><b>Guest access</b><br />Of course you are welcome to use the kitchen / fridge aswell. But please no cooking in the evening!<br /><br /><b>Other things to note</b><br />Please no cooking in the Kitchen. It is OK to make yourself breakfast and Coff","Mitte is one of the most exicting areas in Berlin. Lots of nice Cafés, bars and restaurants, galleries, museums and sightseeings (Hackesche Höfe, Museums Island, Unter den Linden, Brandenburger Gate, Berlin wall memorial)",2013-08-25,within an hour,92.0,100.0,0,1,1,52.53229,13.39691,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Dishes and silverware"", ""Coffee maker"", ""Hangers"", ""Kitchen"", ""Refrigerator"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Hair dryer"", ""Paid parking on premises"", ""Essentials"", ""Elevator"", ""Host greets you"", ""Luggage dropoff allowed"", ""Heating"", ""Bed linens"", ""TV"", ""Shampoo""]",536,48,0,4.6,4.76,4.63,4.75,4.66,4.88,4.64,1,1,4.88,berlin,63.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4.143134726391533,"(52.53229, 13.39691)",8.991528360040753,24.934185680106857,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,fall,1,0,0,0,0.5
4,635310471759670270,2023-03-15,"Cosy flat, close to amazing Buttes Chaumont","Beautiful flat two minutes walk from the Buttes de Chaumont, one of the largest green spaces in Paris, and from Jourdain's metro station, where you can find a range of small shops, restaurants and bars.<br /><br />This is a two-roomed flat, nicely furnished, ready to welcome one or two people for a stay in Paris. <br /><br />This is the flat we live in, so you will find everythinng you need :)<br /><br /><b>The space</b><br />The flat has two rooms, separated by a corridor. <br /><br />In the bedroom, a king size mattress (brand : Emma) will allow you to regain all your strength after a day of walking in the heart of Paris. A recently renovated bathroom accessible directly from the bedroom. <br /><br />A large living room with a kitchen area will allow you to eat ""at home"" and to steal some recipes from one of our cookbooks! <br /><br />For remote work, fast wifi and a monitor are available to allow you to work in excellent conditions in an office area set up in the living room.<br /><",,2014-06-20,within a day,100.0,70.0,0,1,1,48.87919,2.38955,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Bed linens"", ""Refrigerator"", ""Lockbox"", ""HDTV with Netflix, Apple TV, Amazon Prime Video"", ""Hot water kettle"", ""Dining table"", ""Hot water"", ""Cleaning products"", ""Sonos sound system"", ""Radiant heating"", ""Dedicated workspace"", ""Cooking basics"", ""Baking sheet"", ""Microwave"", ""Essentials"", ""Hair dryer"", ""Paid street parking off premises"", ""Wine glasses"", ""Free washer \u2013 In unit"", ""Elevator"", ""Self check-in"", ""Room-darkening shades"", ""Books and reading material"", ""Dishes and silverware"", ""Iron"", ""Smoke alarm"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Dishwasher"", ""Fast wifi \u2013 242 Mbps"", ""Freezer"", ""Toaster"", ""Single level home"", ""Drying rack for clothing""]",6,6,0,4.83,5.0,4.67,4.83,5.0,4.83,4.83,0,1,0.71,paris,230.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,5.438079308923196,"(48.87919, 2.38955)",3.055371352577122,8.472774991780362,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,spring,0,1,0,0,0.5
5,29246570,2022-12-13,Very nice double room in Central Rome,"Private room in a flat inside an elegant condominium building in central Rome, near Villa Borghese and the termini station, locations reachable by foot. The flat is at the third floor it is bright and quiet with central heating. The neighborhood full of bars for eating and nightlife. Shops and Rinascente warehouse are located within walking distance from the apartment. In the immediate vicinity there are bus stops connecting various points of the city<br /><br /><b>The space</b><br />The flat is elegantly furnished with personal touches and tapestries handmade by the landlady. It is equipped with comforts.<br />Guests can access their bedroom, their personal bathroom, the dining area and the kitchen. The bedroom includes two single beds that can be converted into a single double bed, large screen television, wardrobe and chest of drawers.<br /><br /><b>Guest access</b><br />Entrance room, bedroom, bathroom, kitchen, dining room, parking.<br /><br /><b>Other things to note</b><br />l'af",,2012-08-10,within an hour,100.0,0.0,0,1,0,41.91323,12.49786,Private room in condo,Private room,2,2.0,1.0,2.0,"[""TV"", ""Free parking on premises"", ""Essentials"", ""Heating"", ""Kitchen"", ""Elevator"", ""Coffee maker"", ""Cooking basics"", ""Hair dryer"", ""Wifi"", ""Hot water"", ""Hangers"", ""Stove"", ""Dishes and silverware"", ""Shampoo"", ""Refrigerator"", ""Washer""]",11,0,0,4.91,4.82,4.91,4.82,4.55,4.64,4.82,0,1,0.22,rome,50.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3.912023005428146,"(41.91323, 12.49786)",9.054485299954491,25.10877001847549,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,winter,0,0,0,1,1.0
6,628313259301273492,2022-09-14,Casa no rio,"With views of the river from every room, there is truly no other space like this Lapa Loft. <br /><br />Perfect for 2 people. No parties.<br /><br /><b>License number</b><br />Exempt",,2021-03-19,within a day,100.0,41.0,0,1,1,38.70858,-9.15887,Entire loft,Entire home/apt,2,1.0,1.0,1.0,"[""Washer"", ""Shampoo"", ""Paid parking on premises"", ""Cleaning products"", ""Drying rack for clothing"", ""Air conditioning"", ""Outdoor furniture"", ""Private patio or balcony"", ""Oven"", ""Wine glasses"", ""Dining table"", ""Long term stays allowed"", ""Room-darkening shades"", ""Freezer"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Iron"", ""Dedicated workspace"", ""Dishes and silverware"", ""Dishwasher"", ""Bluetooth sound system"", ""Coffee maker"", ""Hangers"", ""Outdoor dining area"", ""Body soap"", ""Extra pillows and blankets"", ""Bed linens"", ""Cooking basics"", ""Refrigerator"", ""Hot water kettle"", ""Heating"", ""Essentials"", ""Stove""]",4,4,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1.05,lisbon,250.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,5.521460917862246,"(38.70858, -9.15887)",4.625796886184475,12.82768333258764,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,fall,1,0,0,0,0.5
7,3512999,2023-06-10,Rental unit in Barcelona · ★4.68 · 3 bedrooms · 3 beds · 1 bath,"Apartment downtown, bright, quiet and clean. Is located in a centric and popular neighborhood.<br />Centric & Very well communicate (bus, metro, walking)<br />It has 3 bedrooms (1 double + 2 singles), 1 bathroom, living room, kitchen and balcony with table and chairs. <br />Equipped with free internet access, air conditioning (hot / cold), sheets, towels, ...<br />With lift.<br /><br /><b>The space</b><br />Apartment furnished for a comfortable stay. <br />It has three beautiful rooms: 2 singles and 1 double. It has a splendid spacious living room with two sofas and a table with six chairs. <br />From here you have access to a quiet balcony overlooking the courtyard and mountains of Montjuic, with a table and chairs for sunbathing.<br />The kitchen is fully equipped with microwave, oven, fridge / freezer, electric kettle, toaster and washing machine.<br />It has a spacious and bright bathroom with tub and hairdryer and exterior window. <br />The apartment is equipped with air condition","It's a popular neighborhood.<br />It has many theaters, cinemas, bars and restaurants...<br />You can walk to the Ramblas, beach, Montjuich mountain...<br />The apartment is silent,  located in a quiet street.",2014-07-05,within an hour,100.0,100.0,0,1,1,41.37428,2.17014,Entire rental unit,Entire home/apt,4,1.0,3.0,3.0,"[""Oven"", ""Refrigerator"", ""Hangers"", ""Wifi"", ""Coffee maker: Nespresso"", ""Babysitter recommendations"", ""Microwave"", ""Pack \u2019n play/Travel crib"", ""Dining table"", ""Toaster"", ""Courtyard view"", ""Children\u2019s books and toys"", ""Shower gel"", ""Freezer"", ""Iron"", ""Essentials"", ""Bathtub"", ""Hot water kettle"", ""Private patio or balcony"", ""Kitchen"", ""Air conditioning"", ""Hair dryer"", ""Mountain view"", ""Washer"", ""Drying rack for clothing"", ""Elevator"", ""Host greets you"", ""Dishes and silverware"", ""Stove"", ""Paid parking off premises"", ""Bed linens"", ""Hot water"", ""TV"", ""Single level home"", ""Heating"", ""Cooking basics""]",349,42,4,4.68,4.7,4.73,4.84,4.92,4.68,4.58,0,4,3.23,barcelona,191.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.25227342804663,"(41.37428, 2.17014)",8.53707719009243,23.673958341627785,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,summer,0,0,1,0,0.75
8,3544398,2023-06-09,Home in London · ★5.0 · 1 bedroom · 1 bed · 1 bath,"No matter where are you from, no matter how long you are willing to stay, no matter you are with friends or alone, no matter the weather is sunny or rainy, no matter age, gender, skin colour, you are more than welcome to stay in our lovely house. :)<br /><br /><b>The space</b><br />No matter where are you from, no matter how long you are willing to stay, no matter you are with friends or alone, no matter the weather is sunny or rainy, no matter age, gender, skin colour, you are more than welcome to stay in our lovely house. :) <br /><br />No matter where are you from, no matter how long you are willing to stay, no matter you are with friends or alone, no matter the weather is sunny or rainy, no matter age, gender, skin colour, you are more than welcome to stay in our lovely house. :) <br /><br />Only three minutes from the nearest tube station, 30 mins from central London, around 1 hour from Heathrow airport <br /><br />Clean, tidy, respectful, and understandable <br /><br />Friendly <",Friendly,2013-11-03,within an hour,100.0,59.0,0,1,1,51.5712,0.00351,Private room in home,Private room,1,1.0,1.0,1.0,"[""Free washer \u2013 In building"", ""TV"", ""Free parking on premises"", ""Wifi"", ""Smoke alarm"", ""Heating"", ""Carbon monoxide alarm"", ""Kitchen"", ""Dryer""]",3,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,5,0.15,london,39.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3.6635616461296463,"(51.5712, 0.00351)",1.5872547646879474,4.4015770667250855,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,summer,0,0,1,0,1.0
9,53950500,2023-03-14,Nice flat two steps to Folies-Bergères at the,"Located in the heart of Paris, in the 9th arrondissement, this nice and stylish flat is ideal for 2 people.<br /><br /><b>The space</b><br />Two steps away from Grands Boulevards, close to many bars and restaurants, this comfortable flat in the heart of Paris is perfect for visiting the city. <br /> <br />Located on the ground floor on a charming shared courtyard, this 22 sq. m flat on two levels is composed of : <br />- a charming and comfortable living-room, <br />- a bedroom upstairs with double bed, <br />- an open well equipped kitchen (coffee machine, toaster, kettle, oven, fridge, hot plates), <br />- a bathroom with shower, <br />- vacuum cleaner, washing machine and ironing equipment, <br />- Wi-Fi. <br />→ Hotel quality cleaning is carried out before your arrival and after your departure.  <br />→ Our guests will receive all the essentials for comfort and hygiene such as bed linen, towels, soap, shampoo<br /><br /><b>Guest access</b><br />Upon arrival, you will be greeted by ","Staying in the 9th arrondissement, you will be in the heart of one of the capital's liveliest neighborhoods. Numerous designer boutiques, restaurants, bars, cafés, entertainment... are all within walking distance. You can also walk to the Moulin Rouge, the Montorgueil district, Montmartre or even Notre-Dame. You will only need to take the metro to discover the historic centre of Paris, the Père-Lachaise cemetery, the Place de la Bastille, but also the Champs-Elysées, the Eiffel Tower and all the great monuments that make Paris the most beautiful city in the world. <br />Amongst the numerous restaurants around your accommodation, we recommend you Monbleu restaurant and cheese shop, Neko ramens or the Bien élevé restaurant at the foot of the building.",2017-04-14,within an hour,97.0,98.0,0,1,1,48.87461,2.34231,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Bed linens"", ""Heating"", ""Washer"", ""Cooking basics"", ""Refrigerator"", ""Oven"", ""Coffee maker"", ""Essentials"", ""Kitchen"", ""Hot water kettle"", ""Dishes and silverware"", ""Toaster"", ""Iron"", ""Hot water"", ""Smoke alarm"", ""Shampoo"", ""Wifi""]",13,13,1,4.77,4.92,4.62,4.77,4.85,4.92,4.69,1,71,1.16,paris,95.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4.553876891600541,"(48.87461, 2.34231)",7.345392759098779,20.369327617607745,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,spring,0,1,0,0,0.5
